team_id,tournament_id,participation_date,result,team_name,region,ranking,tournament_name,location,prize_pool,sponsor_id,sponsor_name,contribution
45,19,2025-01-05,Win,Team service,Romania,68,firm,Hawkinschester,510250,17,Rodgers Ltd,49872
38,16,2025-02-13,Win,Team pretty,Jordan,22,let,Christophermouth,224033,1,Martinez-Gonzalez,17113
2,28,2025-01-22,Win,Team professional,French Southern Territories,7,discussion,North Cherylmouth,721741,14,Prince-Monroe,55324
6,2,2025-01-29,Loss,Team agent,Uganda,25,floor,Port Scott,54759,20,"Ramirez, Young and Miller",10378
22,4,2025-02-02,Draw,Team radio,Netherlands Antilles,98,religious,Gillville,282012,6,"Mueller, Rivera and Owens",9205
30,28,2025-01-09,Win,Team since,Saint Pierre and Miquelon,35,discussion,North Cherylmouth,721741,14,Prince-Monroe,55324
5,16,2025-01-09,Loss,Team soon,Costa Rica,20,let,Christophermouth,224033,1,Martinez-Gonzalez,17113
10,17,2025-01-09,Loss,Team unit,Congo,83,deep,East Christineburgh,327271,10,"Chapman, Clay and Mack",35069
19,13,2025-01-24,Draw,Team ball,Sudan,77,lot,Port Kathleen,445222,18,"Farmer, Jackson and Harrell",83972
20,19,2025-01-24,Win,Team effort,Iceland,85,firm,Hawkinschester,510250,17,Rodgers Ltd,49872
1,13,2025-01-18,Win,Team large,Turks and Caicos Islands,5,lot,Port Kathleen,445222,18,"Farmer, Jackson and Harrell",83972
17,22,2025-02-01,Win,Team role,Lesotho,23,tend,Port Cheryl,974895,17,Rodgers Ltd,49872
23,27,2025-01-22,Draw,Team group,Morocco,15,line,East Daniel,931157,14,Prince-Monroe,55324
44,26,2025-01-31,Loss,Team help,Vanuatu,8,democratic,Brettbury,942993,17,Rodgers Ltd,49872
7,10,2025-01-26,Draw,Team friend,Turkey,80,human,Stevenborough,112675,16,Hunt-Sutton,17993
29,16,2025-01-19,Draw,Team perform,Zambia,55,let,Christophermouth,224033,1,Martinez-Gonzalez,17113
10,22,2025-01-21,Win,Team unit,Congo,83,tend,Port Cheryl,974895,17,Rodgers Ltd,49872
28,28,2025-01-03,Loss,Team hold,Burkina Faso,70,discussion,North Cherylmouth,721741,14,Prince-Monroe,55324
47,30,2025-01-13,Draw,Team style,Northern Mariana Islands,24,middle,Kaylafurt,292755,5,"Evans, Elliott and Russell",17240
34,24,2025-02-02,Win,Team enough,Dominican Republic,72,idea,Rebeccaton,463530,14,Prince-Monroe,55324
6,24,2025-01-16,Win,Team agent,Uganda,25,idea,Rebeccaton,463530,14,Prince-Monroe,55324
43,13,2025-01-05,Draw,Team room,Kyrgyz Republic,22,lot,Port Kathleen,445222,18,"Farmer, Jackson and Harrell",83972
25,7,2025-01-03,Win,Team ready,Italy,54,strong,West Aprilhaven,77477,16,Hunt-Sutton,17993
11,17,2025-02-08,Win,Team card,Myanmar,50,deep,East Christineburgh,327271,10,"Chapman, Clay and Mack",35069
23,7,2025-01-25,Draw,Team group,Morocco,15,strong,West Aprilhaven,77477,16,Hunt-Sutton,17993
17,1,2025-01-22,Loss,Team role,Lesotho,23,board,Kellychester,701574,6,"Mueller, Rivera and Owens",9205
5,4,2025-02-18,Win,Team soon,Costa Rica,20,religious,Gillville,282012,6,"Mueller, Rivera and Owens",9205
49,13,2025-01-25,Win,Team week,Christmas Island,47,lot,Port Kathleen,445222,18,"Farmer, Jackson and Harrell",83972
22,25,2025-02-22,Draw,Team radio,Netherlands Antilles,98,training,Victoriaport,577794,10,"Chapman, Clay and Mack",35069
3,7,2025-02-15,Draw,Team try,Saint Kitts and Nevis,28,strong,West Aprilhaven,77477,16,Hunt-Sutton,17993
11,20,2025-01-17,Draw,Team card,Myanmar,50,cost,Estradashire,308177,10,"Chapman, Clay and Mack",35069
27,12,2025-02-18,Draw,Team town,Kazakhstan,83,particularly,South Ritafurt,98833,13,Thompson PLC,6680
2,2,2025-02-22,Loss,Team professional,French Southern Territories,7,floor,Port Scott,54759,20,"Ramirez, Young and Miller",10378
20,2,2025-01-22,Loss,Team effort,Iceland,85,floor,Port Scott,54759,20,"Ramirez, Young and Miller",10378
15,16,2025-02-22,Loss,Team star,Djibouti,93,let,Christophermouth,224033,1,Martinez-Gonzalez,17113
33,15,2025-01-04,Draw,Team admit,Benin,76,country,North Cheyenne,75315,18,"Farmer, Jackson and Harrell",83972
17,22,2025-02-16,Loss,Team role,Lesotho,23,tend,Port Cheryl,974895,17,Rodgers Ltd,49872
10,8,2025-02-19,Win,Team unit,Congo,83,effect,Andersonside,230256,5,"Evans, Elliott and Russell",17240
4,16,2025-02-03,Draw,Team spend,Norfolk Island,75,let,Christophermouth,224033,1,Martinez-Gonzalez,17113
37,7,2025-01-22,Draw,Team chair,Bahamas,73,strong,West Aprilhaven,77477,16,Hunt-Sutton,17993
29,22,2025-01-17,Draw,Team perform,Zambia,55,tend,Port Cheryl,974895,17,Rodgers Ltd,49872
36,25,2025-02-03,Win,Team different,Cook Islands,63,training,Victoriaport,577794,10,"Chapman, Clay and Mack",35069
45,3,2025-01-18,Win,Team service,Romania,68,nothing,Gibsonshire,814843,9,Harrison Ltd,1328
25,13,2025-02-09,Loss,Team ready,Italy,54,lot,Port Kathleen,445222,18,"Farmer, Jackson and Harrell",83972
47,27,2025-01-05,Win,Team style,Northern Mariana Islands,24,line,East Daniel,931157,14,Prince-Monroe,55324
48,27,2025-01-23,Win,Team party,United Arab Emirates,17,line,East Daniel,931157,14,Prince-Monroe,55324
41,18,2025-02-15,Draw,Team around,Russian Federation,43,century,South Natalie,447728,15,"Aguilar, Bailey and Smith",47660
42,8,2025-01-04,Win,Team which,Grenada,28,effect,Andersonside,230256,5,"Evans, Elliott and Russell",17240
13,1,2025-01-13,Loss,Team include,Djibouti,96,board,Kellychester,701574,6,"Mueller, Rivera and Owens",9205
48,29,2025-01-09,Loss,Team party,United Arab Emirates,17,opportunity,Parkerton,608048,6,"Mueller, Rivera and Owens",9205
5,4,2025-01-19,Loss,Team soon,Costa Rica,20,religious,Gillville,282012,6,"Mueller, Rivera and Owens",9205
18,10,2025-01-06,Draw,Team care,Georgia,24,human,Stevenborough,112675,16,Hunt-Sutton,17993
22,7,2025-01-17,Loss,Team radio,Netherlands Antilles,98,strong,West Aprilhaven,77477,16,Hunt-Sutton,17993
21,19,2025-01-31,Loss,Team yard,Palestinian Territory,30,firm,Hawkinschester,510250,17,Rodgers Ltd,49872
3,2,2025-01-05,Draw,Team try,Saint Kitts and Nevis,28,floor,Port Scott,54759,20,"Ramirez, Young and Miller",10378
10,25,2025-01-09,Loss,Team unit,Congo,83,training,Victoriaport,577794,10,"Chapman, Clay and Mack",35069
17,28,2025-01-10,Loss,Team role,Lesotho,23,discussion,North Cherylmouth,721741,14,Prince-Monroe,55324
24,29,2025-02-08,Draw,Team real,Pitcairn Islands,40,opportunity,Parkerton,608048,6,"Mueller, Rivera and Owens",9205
47,19,2025-01-07,Loss,Team style,Northern Mariana Islands,24,firm,Hawkinschester,510250,17,Rodgers Ltd,49872
25,5,2025-01-06,Win,Team ready,Italy,54,by,Dennisfurt,557522,1,Martinez-Gonzalez,17113
50,9,2025-01-16,Win,Team room,Sierra Leone,53,born,South Steventown,353323,8,Mccoy-Becker,30120
16,2,2025-01-06,Loss,Team it,Switzerland,14,floor,Port Scott,54759,20,"Ramirez, Young and Miller",10378
35,10,2025-01-16,Draw,Team break,Seychelles,82,human,Stevenborough,112675,16,Hunt-Sutton,17993
36,26,2025-02-01,Draw,Team different,Cook Islands,63,democratic,Brettbury,942993,17,Rodgers Ltd,49872
40,2,2025-02-22,Draw,Team list,Dominican Republic,41,floor,Port Scott,54759,20,"Ramirez, Young and Miller",10378
15,30,2025-01-23,Loss,Team star,Djibouti,93,middle,Kaylafurt,292755,5,"Evans, Elliott and Russell",17240
47,12,2025-01-21,Draw,Team style,Northern Mariana Islands,24,particularly,South Ritafurt,98833,13,Thompson PLC,6680
40,9,2025-02-08,Loss,Team list,Dominican Republic,41,born,South Steventown,353323,8,Mccoy-Becker,30120
28,6,2025-01-27,Draw,Team hold,Burkina Faso,70,piece,Anthonyborough,991683,17,Rodgers Ltd,49872
4,9,2025-02-09,Win,Team spend,Norfolk Island,75,born,South Steventown,353323,8,Mccoy-Becker,30120
49,28,2025-01-24,Draw,Team week,Christmas Island,47,discussion,North Cherylmouth,721741,14,Prince-Monroe,55324
36,15,2025-02-09,Draw,Team different,Cook Islands,63,country,North Cheyenne,75315,18,"Farmer, Jackson and Harrell",83972
47,17,2025-02-11,Win,Team style,Northern Mariana Islands,24,deep,East Christineburgh,327271,10,"Chapman, Clay and Mack",35069
4,6,2025-02-19,Draw,Team spend,Norfolk Island,75,piece,Anthonyborough,991683,17,Rodgers Ltd,49872
18,11,2025-01-26,Loss,Team care,Georgia,24,report,North Calvinbury,811747,8,Mccoy-Becker,30120
44,25,2025-02-22,Draw,Team help,Vanuatu,8,training,Victoriaport,577794,10,"Chapman, Clay and Mack",35069
29,10,2025-02-11,Loss,Team perform,Zambia,55,human,Stevenborough,112675,16,Hunt-Sutton,17993
33,13,2025-01-20,Draw,Team admit,Benin,76,lot,Port Kathleen,445222,18,"Farmer, Jackson and Harrell",83972
38,14,2025-01-02,Win,Team pretty,Jordan,22,stage,Smithside,363222,1,Martinez-Gonzalez,17113
1,29,2025-02-02,Win,Team large,Turks and Caicos Islands,5,opportunity,Parkerton,608048,6,"Mueller, Rivera and Owens",9205
6,25,2025-01-03,Draw,Team agent,Uganda,25,training,Victoriaport,577794,10,"Chapman, Clay and Mack",35069
5,6,2025-02-19,Draw,Team soon,Costa Rica,20,piece,Anthonyborough,991683,17,Rodgers Ltd,49872
34,30,2025-02-08,Win,Team enough,Dominican Republic,72,middle,Kaylafurt,292755,5,"Evans, Elliott and Russell",17240
2,3,2025-01-01,Win,Team professional,French Southern Territories,7,nothing,Gibsonshire,814843,9,Harrison Ltd,1328
49,16,2025-02-17,Loss,Team week,Christmas Island,47,let,Christophermouth,224033,1,Martinez-Gonzalez,17113
34,10,2025-02-12,Win,Team enough,Dominican Republic,72,human,Stevenborough,112675,16,Hunt-Sutton,17993
27,29,2025-01-18,Win,Team town,Kazakhstan,83,opportunity,Parkerton,608048,6,"Mueller, Rivera and Owens",9205
49,17,2025-01-01,Win,Team week,Christmas Island,47,deep,East Christineburgh,327271,10,"Chapman, Clay and Mack",35069
34,8,2025-01-18,Draw,Team enough,Dominican Republic,72,effect,Andersonside,230256,5,"Evans, Elliott and Russell",17240
29,24,2025-01-21,Draw,Team perform,Zambia,55,idea,Rebeccaton,463530,14,Prince-Monroe,55324
1,21,2025-01-27,Win,Team large,Turks and Caicos Islands,5,consumer,Lewisside,55769,20,"Ramirez, Young and Miller",10378
24,12,2025-01-22,Loss,Team real,Pitcairn Islands,40,particularly,South Ritafurt,98833,13,Thompson PLC,6680
43,9,2025-02-08,Draw,Team room,Kyrgyz Republic,22,born,South Steventown,353323,8,Mccoy-Becker,30120
13,24,2025-01-23,Draw,Team include,Djibouti,96,idea,Rebeccaton,463530,14,Prince-Monroe,55324
49,16,2025-01-04,Draw,Team week,Christmas Island,47,let,Christophermouth,224033,1,Martinez-Gonzalez,17113
18,25,2025-01-03,Win,Team care,Georgia,24,training,Victoriaport,577794,10,"Chapman, Clay and Mack",35069
38,20,2025-01-11,Loss,Team pretty,Jordan,22,cost,Estradashire,308177,10,"Chapman, Clay and Mack",35069
18,6,2025-02-22,Draw,Team care,Georgia,24,piece,Anthonyborough,991683,17,Rodgers Ltd,49872
12,14,2025-02-11,Draw,Team when,Australia,87,stage,Smithside,363222,1,Martinez-Gonzalez,17113
48,23,2025-01-19,Win,Team party,United Arab Emirates,17,station,West Kyle,498847,1,Martinez-Gonzalez,17113
15,11,2025-01-22,Loss,Team star,Djibouti,93,report,North Calvinbury,811747,8,Mccoy-Becker,30120
12,3,2025-02-20,Win,Team when,Australia,87,nothing,Gibsonshire,814843,9,Harrison Ltd,1328
36,1,2025-01-18,Loss,Team different,Cook Islands,63,board,Kellychester,701574,6,"Mueller, Rivera and Owens",9205
28,13,2025-02-01,Win,Team hold,Burkina Faso,70,lot,Port Kathleen,445222,18,"Farmer, Jackson and Harrell",83972
45,2,2025-01-31,Loss,Team service,Romania,68,floor,Port Scott,54759,20,"Ramirez, Young and Miller",10378
9,22,2025-01-19,Loss,Team specific,British Indian Ocean Territory (Chagos Archipelago),38,tend,Port Cheryl,974895,17,Rodgers Ltd,49872
11,24,2025-01-15,Draw,Team card,Myanmar,50,idea,Rebeccaton,463530,14,Prince-Monroe,55324
49,30,2025-02-16,Win,Team week,Christmas Island,47,middle,Kaylafurt,292755,5,"Evans, Elliott and Russell",17240
40,25,2025-01-28,Draw,Team list,Dominican Republic,41,training,Victoriaport,577794,10,"Chapman, Clay and Mack",35069
32,20,2025-02-08,Draw,Team guess,Cameroon,75,cost,Estradashire,308177,10,"Chapman, Clay and Mack",35069
38,16,2025-02-14,Draw,Team pretty,Jordan,22,let,Christophermouth,224033,1,Martinez-Gonzalez,17113
1,18,2025-01-03,Loss,Team large,Turks and Caicos Islands,5,century,South Natalie,447728,15,"Aguilar, Bailey and Smith",47660
32,15,2025-02-10,Draw,Team guess,Cameroon,75,country,North Cheyenne,75315,18,"Farmer, Jackson and Harrell",83972
37,16,2025-01-15,Loss,Team chair,Bahamas,73,let,Christophermouth,224033,1,Martinez-Gonzalez,17113
50,27,2025-02-09,Draw,Team room,Sierra Leone,53,line,East Daniel,931157,14,Prince-Monroe,55324
9,20,2025-01-19,Loss,Team specific,British Indian Ocean Territory (Chagos Archipelago),38,cost,Estradashire,308177,10,"Chapman, Clay and Mack",35069
41,15,2025-01-29,Win,Team around,Russian Federation,43,country,North Cheyenne,75315,18,"Farmer, Jackson and Harrell",83972
7,28,2025-02-02,Draw,Team friend,Turkey,80,discussion,North Cherylmouth,721741,14,Prince-Monroe,55324
13,10,2025-01-24,Win,Team include,Djibouti,96,human,Stevenborough,112675,16,Hunt-Sutton,17993
2,8,2025-01-03,Loss,Team professional,French Southern Territories,7,effect,Andersonside,230256,5,"Evans, Elliott and Russell",17240
5,11,2025-02-21,Loss,Team soon,Costa Rica,20,report,North Calvinbury,811747,8,Mccoy-Becker,30120
46,7,2025-01-19,Draw,Team have,Australia,13,strong,West Aprilhaven,77477,16,Hunt-Sutton,17993
16,19,2025-01-13,Loss,Team it,Switzerland,14,firm,Hawkinschester,510250,17,Rodgers Ltd,49872
20,6,2025-02-21,Loss,Team effort,Iceland,85,piece,Anthonyborough,991683,17,Rodgers Ltd,49872
49,24,2025-01-07,Win,Team week,Christmas Island,47,idea,Rebeccaton,463530,14,Prince-Monroe,55324
11,28,2025-02-04,Loss,Team card,Myanmar,50,discussion,North Cherylmouth,721741,14,Prince-Monroe,55324
22,11,2025-02-14,Win,Team radio,Netherlands Antilles,98,report,North Calvinbury,811747,8,Mccoy-Becker,30120
44,30,2025-01-07,Draw,Team help,Vanuatu,8,middle,Kaylafurt,292755,5,"Evans, Elliott and Russell",17240
10,11,2025-02-12,Win,Team unit,Congo,83,report,North Calvinbury,811747,8,Mccoy-Becker,30120
50,28,2025-02-15,Win,Team room,Sierra Leone,53,discussion,North Cherylmouth,721741,14,Prince-Monroe,55324
13,7,2025-01-21,Loss,Team include,Djibouti,96,strong,West Aprilhaven,77477,16,Hunt-Sutton,17993
20,23,2025-01-28,Loss,Team effort,Iceland,85,station,West Kyle,498847,1,Martinez-Gonzalez,17113
14,22,2025-01-15,Draw,Team choice,Benin,92,tend,Port Cheryl,974895,17,Rodgers Ltd,49872
14,30,2025-02-01,Loss,Team choice,Benin,92,middle,Kaylafurt,292755,5,"Evans, Elliott and Russell",17240
5,17,2025-02-05,Win,Team soon,Costa Rica,20,deep,East Christineburgh,327271,10,"Chapman, Clay and Mack",35069
3,4,2025-01-01,Draw,Team try,Saint Kitts and Nevis,28,religious,Gillville,282012,6,"Mueller, Rivera and Owens",9205
27,29,2025-01-15,Win,Team town,Kazakhstan,83,opportunity,Parkerton,608048,6,"Mueller, Rivera and Owens",9205
30,6,2025-01-30,Draw,Team since,Saint Pierre and Miquelon,35,piece,Anthonyborough,991683,17,Rodgers Ltd,49872
6,14,2025-02-20,Loss,Team agent,Uganda,25,stage,Smithside,363222,1,Martinez-Gonzalez,17113
40,18,2025-02-04,Win,Team list,Dominican Republic,41,century,South Natalie,447728,15,"Aguilar, Bailey and Smith",47660
13,28,2025-02-15,Win,Team include,Djibouti,96,discussion,North Cherylmouth,721741,14,Prince-Monroe,55324
29,15,2025-02-03,Win,Team perform,Zambia,55,country,North Cheyenne,75315,18,"Farmer, Jackson and Harrell",83972
29,14,2025-01-23,Draw,Team perform,Zambia,55,stage,Smithside,363222,1,Martinez-Gonzalez,17113
6,2,2025-01-26,Draw,Team agent,Uganda,25,floor,Port Scott,54759,20,"Ramirez, Young and Miller",10378
17,8,2025-01-04,Win,Team role,Lesotho,23,effect,Andersonside,230256,5,"Evans, Elliott and Russell",17240
19,15,2025-01-17,Win,Team ball,Sudan,77,country,North Cheyenne,75315,18,"Farmer, Jackson and Harrell",83972
15,24,2025-01-05,Win,Team star,Djibouti,93,idea,Rebeccaton,463530,14,Prince-Monroe,55324
8,1,2025-02-18,Draw,Team financial,Guinea,38,board,Kellychester,701574,6,"Mueller, Rivera and Owens",9205
22,3,2025-01-13,Loss,Team radio,Netherlands Antilles,98,nothing,Gibsonshire,814843,9,Harrison Ltd,1328
44,29,2025-01-20,Loss,Team help,Vanuatu,8,opportunity,Parkerton,608048,6,"Mueller, Rivera and Owens",9205
7,4,2025-02-08,Loss,Team friend,Turkey,80,religious,Gillville,282012,6,"Mueller, Rivera and Owens",9205
31,22,2025-02-03,Draw,Team attack,Yemen,9,tend,Port Cheryl,974895,17,Rodgers Ltd,49872
9,22,2025-01-28,Win,Team specific,British Indian Ocean Territory (Chagos Archipelago),38,tend,Port Cheryl,974895,17,Rodgers Ltd,49872
39,13,2025-02-07,Loss,Team herself,Bhutan,76,lot,Port Kathleen,445222,18,"Farmer, Jackson and Harrell",83972
29,12,2025-02-14,Win,Team perform,Zambia,55,particularly,South Ritafurt,98833,13,Thompson PLC,6680
46,6,2025-02-06,Win,Team have,Australia,13,piece,Anthonyborough,991683,17,Rodgers Ltd,49872
8,30,2025-02-07,Loss,Team financial,Guinea,38,middle,Kaylafurt,292755,5,"Evans, Elliott and Russell",17240
25,28,2025-01-30,Loss,Team ready,Italy,54,discussion,North Cherylmouth,721741,14,Prince-Monroe,55324
36,15,2025-01-22,Draw,Team different,Cook Islands,63,country,North Cheyenne,75315,18,"Farmer, Jackson and Harrell",83972
45,4,2025-01-14,Draw,Team service,Romania,68,religious,Gillville,282012,6,"Mueller, Rivera and Owens",9205
19,8,2025-02-15,Win,Team ball,Sudan,77,effect,Andersonside,230256,5,"Evans, Elliott and Russell",17240
45,14,2025-01-14,Win,Team service,Romania,68,stage,Smithside,363222,1,Martinez-Gonzalez,17113
9,19,2025-01-02,Loss,Team specific,British Indian Ocean Territory (Chagos Archipelago),38,firm,Hawkinschester,510250,17,Rodgers Ltd,49872
25,28,2025-01-18,Win,Team ready,Italy,54,discussion,North Cherylmouth,721741,14,Prince-Monroe,55324
9,2,2025-01-18,Loss,Team specific,British Indian Ocean Territory (Chagos Archipelago),38,floor,Port Scott,54759,20,"Ramirez, Young and Miller",10378
10,9,2025-01-08,Loss,Team unit,Congo,83,born,South Steventown,353323,8,Mccoy-Becker,30120
38,15,2025-02-13,Loss,Team pretty,Jordan,22,country,North Cheyenne,75315,18,"Farmer, Jackson and Harrell",83972
6,12,2025-01-27,Draw,Team agent,Uganda,25,particularly,South Ritafurt,98833,13,Thompson PLC,6680
37,10,2025-01-30,Win,Team chair,Bahamas,73,human,Stevenborough,112675,16,Hunt-Sutton,17993
37,25,2025-02-08,Loss,Team chair,Bahamas,73,training,Victoriaport,577794,10,"Chapman, Clay and Mack",35069
46,19,2025-01-05,Win,Team have,Australia,13,firm,Hawkinschester,510250,17,Rodgers Ltd,49872
25,3,2025-01-22,Draw,Team ready,Italy,54,nothing,Gibsonshire,814843,9,Harrison Ltd,1328
15,12,2025-02-04,Loss,Team star,Djibouti,93,particularly,South Ritafurt,98833,13,Thompson PLC,6680
43,7,2025-01-12,Loss,Team room,Kyrgyz Republic,22,strong,West Aprilhaven,77477,16,Hunt-Sutton,17993
45,8,2025-02-05,Win,Team service,Romania,68,effect,Andersonside,230256,5,"Evans, Elliott and Russell",17240
20,12,2025-02-04,Draw,Team effort,Iceland,85,particularly,South Ritafurt,98833,13,Thompson PLC,6680
5,28,2025-02-11,Draw,Team soon,Costa Rica,20,discussion,North Cherylmouth,721741,14,Prince-Monroe,55324
33,8,2025-01-06,Loss,Team admit,Benin,76,effect,Andersonside,230256,5,"Evans, Elliott and Russell",17240
22,16,2025-02-08,Loss,Team radio,Netherlands Antilles,98,let,Christophermouth,224033,1,Martinez-Gonzalez,17113
48,5,2025-02-08,Draw,Team party,United Arab Emirates,17,by,Dennisfurt,557522,1,Martinez-Gonzalez,17113
13,18,2025-02-22,Win,Team include,Djibouti,96,century,South Natalie,447728,15,"Aguilar, Bailey and Smith",47660
50,29,2025-01-26,Draw,Team room,Sierra Leone,53,opportunity,Parkerton,608048,6,"Mueller, Rivera and Owens",9205
13,7,2025-01-15,Draw,Team include,Djibouti,96,strong,West Aprilhaven,77477,16,Hunt-Sutton,17993
11,6,2025-02-01,Draw,Team card,Myanmar,50,piece,Anthonyborough,991683,17,Rodgers Ltd,49872
24,4,2025-01-13,Win,Team real,Pitcairn Islands,40,religious,Gillville,282012,6,"Mueller, Rivera and Owens",9205
33,22,2025-02-17,Draw,Team admit,Benin,76,tend,Port Cheryl,974895,17,Rodgers Ltd,49872
39,16,2025-01-10,Draw,Team herself,Bhutan,76,let,Christophermouth,224033,1,Martinez-Gonzalez,17113
12,20,2025-02-10,Draw,Team when,Australia,87,cost,Estradashire,308177,10,"Chapman, Clay and Mack",35069
2,26,2025-01-10,Loss,Team professional,French Southern Territories,7,democratic,Brettbury,942993,17,Rodgers Ltd,49872
38,20,2025-01-17,Win,Team pretty,Jordan,22,cost,Estradashire,308177,10,"Chapman, Clay and Mack",35069
5,1,2025-01-02,Draw,Team soon,Costa Rica,20,board,Kellychester,701574,6,"Mueller, Rivera and Owens",9205
35,29,2025-01-01,Draw,Team break,Seychelles,82,opportunity,Parkerton,608048,6,"Mueller, Rivera and Owens",9205
15,14,2025-01-31,Loss,Team star,Djibouti,93,stage,Smithside,363222,1,Martinez-Gonzalez,17113
43,20,2025-01-07,Win,Team room,Kyrgyz Republic,22,cost,Estradashire,308177,10,"Chapman, Clay and Mack",35069
18,1,2025-02-01,Loss,Team care,Georgia,24,board,Kellychester,701574,6,"Mueller, Rivera and Owens",9205
2,26,2025-01-02,Draw,Team professional,French Southern Territories,7,democratic,Brettbury,942993,17,Rodgers Ltd,49872
10,28,2025-02-20,Draw,Team unit,Congo,83,discussion,North Cherylmouth,721741,14,Prince-Monroe,55324
39,23,2025-02-08,Loss,Team herself,Bhutan,76,station,West Kyle,498847,1,Martinez-Gonzalez,17113
47,28,2025-02-19,Loss,Team style,Northern Mariana Islands,24,discussion,North Cherylmouth,721741,14,Prince-Monroe,55324
2,21,2025-02-14,Loss,Team professional,French Southern Territories,7,consumer,Lewisside,55769,20,"Ramirez, Young and Miller",10378
